DATE,OPEN,HIGH,LOW,CLOSE
1.95E+07,22.18,22.18,22.18,22.18
1.95E+07,21.76,21.76,21.76,21.76
1.95E+07,21.69,21.69,21.69,21.69
1.95E+07,21.91,21.91,21.91,21.91
1.95E+07,21.51,21.51,21.51,21.51
1.95E+07,21.46,21.46,21.46,21.46
1.95E+07,21.36,21.36,21.36,21.36
1.95E+07,21.16,21.16,21.16,21.16
1.95E+07,21.05,21.05,21.05,21.05
1.95E+07,21.03,21.03,21.03,21.03
1.95E+07,21.21,21.21,21.21,21.21
1.95E+07,21.35,21.35,21.35,21.35
1.95E+07,21.52,21.52,21.52,21.52
1.95E+07,21.48,21.48,21.48,21.48
1.95E+07,21.24,21.24,21.24,21.24
1.95E+07,21.33,21.33,21.33,21.33
1.95E+07,21.48,21.48,21.48,21.48
1.95E+07,21.56,21.56,21.56,21.56
1.95E+07,21.49,21.49,21.49,21.49
1.95E+07,21.61,21.61,21.61,21.61
1.95E+07,21.52,21.52,21.52,21.52
1.95E+07,21.55,21.55,21.55,21.55
1.95E+07,21.84,21.84,21.84,21.84
1.95E+07,22.04,22.04,22.04,22.04
1.95E+07,22.05,22.05,22.05,22.05
1.95E+07,22.02,22.02,22.02,22.02
1.95E+07,21.91,21.91,21.91,21.91
1.95E+07,21.78,21.78,21.78,21.78
1.95E+07,21.55,21.55,21.55,21.55
1.95E+07,21.29,21.29,21.29,21.29
1.95E+07,21.3,21.3,21.3,21.3
1.95E+07,21.37,21.37,21.37,21.37
1.95E+07,21.1,21.1,21.1,21.1
1.95E+07,20.96,20.96,20.96,20.96
1.95E+07,21.1,21.1,21.1,21.1
1.95E+07,21.23,21.23,21.23,21.23
1.95E+07,21.64,21.64,21.64,21.64
1.95E+07,21.64,21.64,21.64,21.64
1.95E+07,21.73,21.73,21.73,21.73
1.95E+07,21.63,21.63,21.63,21.63
1.95E+07,21.68,21.68,21.68,21.68
1.95E+07,21.8,21.8,21.8,21.8
1.95E+07,21.98,21.98,21.98,21.98
1.95E+07,21.73,21.73,21.73,21.73
1.95E+07,21.92,21.92,21.92,21.92
1.95E+07,21.88,21.88,21.88,21.88
1.95E+07,21.84,21.84,21.84,21.84
1.95E+07,21.88,21.88,21.88,21.88
1.95E+07,22.1,22.1,22.1,22.1
1.95E+07,22.44,22.44,22.44,22.44
1.95E+07,22.32,22.32,22.32,22.32
1.95E+07,22.47,22.47,22.47,22.47
1.95E+07,22.53,22.53,22.53,22.53
1.95E+07,22.63,22.63,22.63,22.63
1.95E+07,22.4,22.4,22.4,22.4
1.95E+07,22.51,22.51,22.51,22.51
1.95E+07,22.82,22.82,22.82,22.82
1.95E+07,22.85,22.85,22.85,22.85
1.95E+07,23.01,23.01,23.01,23.01
1.95E+07,23.03,23.03,23.03,23.03
1.95E+07,22.93,22.93,22.93,22.93
1.95E+07,22.84,22.84,22.84,22.84
1.95E+07,22.79,22.79,22.79,22.79
1.95E+07,22.8,22.8,22.8,22.8
1.95E+07,22.7,22.7,22.7,22.7
1.95E+07,22.79,22.79,22.79,22.79
1.95E+07,22.87,22.87,22.87,22.87
1.95E+07,22.94,22.94,22.94,22.94
1.95E+07,22.93,22.93,22.93,22.93
1.95E+07,22.83,22.83,22.83,22.83
1.95E+07,22.75,22.75,22.75,22.75
1.95E+07,22.9,22.9,22.9,22.9
1.95E+07,22.88,22.88,22.88,22.88
1.95E+07,22.85,22.85,22.85,22.85
1.95E+07,22.9,22.9,22.9,22.9
1.95E+07,23.08,23.08,23.08,23.08
1.95E+07,23.24,23.24,23.24,23.24
1.95E+07,23.28,23.28,23.28,23.28
1.95E+07,23.28,23.28,23.28,23.28
1.95E+07,23.42,23.42,23.42,23.42
1.95E+07,23.47,23.47,23.47,23.47
1.95E+07,23.53,23.53,23.53,23.53
1.95E+07,23.62,23.62,23.62,23.62
1.95E+07,23.5,23.5,23.5,23.5
1.95E+07,23.6,23.6,23.6,23.6
1.95E+07,23.71,23.71,23.71,23.71
1.95E+07,23.69,23.69,23.69,23.69
1.95E+07,23.62,23.62,23.62,23.62
1.95E+07,23.59,23.59,23.59,23.59
1.95E+07,23.59,23.59,23.59,23.59
1.95E+07,23.57,23.57,23.57,23.57
1.95E+07,23.4,23.4,23.4,23.4
1.95E+07,23.3,23.3,23.3,23.3
1.95E+07,23.38,23.38,23.38,23.38
1.95E+07,23.4,23.4,23.4,23.4
1.95E+07,23.27,23.27,23.27,23.27
1.95E+07,23.26,23.26,23.26,23.26
1.95E+07,23.47,23.47,23.47,23.47
1.95E+07,23.64,23.64,23.64,23.64
1.95E+07,23.79,23.79,23.79,23.79
1.95E+07,23.72,23.72,23.72,23.72
1.95E+07,23.78,23.78,23.78,23.78
1.95E+07,23.75,23.75,23.75,23.75
1.95E+07,23.65,23.65,23.65,23.65
